,Voltage,rx_1
0,0.01,-1021.56463174
1,0.02,-1020.61113732
2,0.03,-1019.50945512
3,0.04,-1018.4490819
4,0.05,-1017.40947245
5,0.06,-1016.75530425
6,0.07,-1015.25266261
7,0.08,-1014.75771978
8,0.09,-1013.60358172
9,0.1,-1012.48605347
10,0.11,-1011.8445621
11,0.12,-1010.84057892
12,0.13,-1009.60994274
13,0.14,-1008.95544669
14,0.15,-1007.70929232
15,0.16,-1006.82420908
16,0.17,-1006.05409158
17,0.18,-1005.1389555
18,0.19,-1004.5356039
19,0.2,-1003.15470356
20,0.21,-1002.56599589
21,0.22,-1001.37164168
22,0.23,-1000.64993656
23,0.24,-999.543664469
24,0.25,-998.927308191
25,0.26,-997.96474328
26,0.27,-997.151568269
27,0.28,-996.161026903
28,0.29,-995.535490851
29,0.3,-994.718272367
30,0.31,-993.340978366
31,0.32,-992.724949937
32,0.33,-991.858116959
33,0.34,-990.956313412
34,0.35,-990.201495537
35,0.36,-989.773980332
36,0.37,-988.576675477
37,0.38,-987.66044657
38,0.39,-986.941364246
39,0.4,-986.307959816
40,0.41,-985.243870972
41,0.42,-984.705542776
42,0.43,-984.078804611
43,0.44,-983.002038936
44,0.45,-982.039583308
45,0.46,-981.424538427
46,0.47,-980.728186972
47,0.48,-979.825509161
48,0.49,-978.996160262
49,0.5,-978.387016664
50,0.51,-977.307956045
51,0.52,-976.644717348
52,0.53,-975.740946707
53,0.54,-975.146556318
54,0.55,-974.431736031
55,0.56,-973.505015954
56,0.57,-972.781780875
57,0.58,-971.984779752
58,0.59,-971.525026053
59,0.6,-970.778185839
60,0.61,-969.966540791
61,0.62,-969.056759582
62,0.63,-968.536790935
63,0.64,-967.733997812
64,0.65,-967.326044268
65,0.66,-966.332989393
66,0.67,-965.604618011
67,0.68,-964.942144295
68,0.69,-964.162300608
69,0.7,-963.493160627
70,0.71,-963.034936891
71,0.72,-962.290063772
72,0.73,-961.627262207
73,0.74,-960.687428166
74,0.75,-960.259694395
75,0.76,-959.287840427
76,0.77,-958.944801002
77,0.78,-958.251181623
78,0.79,-957.548928885
79,0.8,-956.792471766
80,0.81,-956.043445892
81,0.82,-955.370043873
82,0.83,-954.562988711
83,0.84,-953.964227001
84,0.85,-953.658780938
85,0.86,-953.101437495
86,0.87,-952.170346097
87,0.88,-951.362198105
88,0.89,-950.78889934
89,0.9,-950.036922824
90,0.91,-949.685796455
91,0.92,-948.81655925
92,0.93,-948.240419127
93,0.94,-947.66886889
94,0.95,-947.05098265
95,0.96,-946.388508934
96,0.97,-945.897281724
97,0.98,-944.979304288
98,0.99,-944.731996796
99,1.0,-944.112252744
100,1.01,-943.135043908
101,1.02,-942.671574586
102,1.03,-941.930854222
103,1.04,-941.532517585
104,1.05,-941.014297467
105,1.06,-940.271391442
106,1.07,-939.420513786
107,1.08,-938.971141975
108,1.09,-938.552369412
109,1.1,-937.852520901
110,1.11,-937.184364467
111,1.12,-936.656308876
112,1.13,-936.231525746
113,1.14,-935.553096709
114,1.15,-934.810299967
115,1.16,-934.222685126
116,1.17,-933.793858524
117,1.18,-933.129199148
118,1.19,-932.441808902
119,1.2,-931.835943794
120,1.21,-931.648632684
121,1.22,-930.67546732
122,1.23,-930.415155147
123,1.24,-929.647114027
124,1.25,-928.925846042
125,1.26,-928.423253396
126,1.27,-928.239111494
127,1.28,-927.451508711
128,1.29,-927.055794867
129,1.3,-926.449711193
130,1.31,-925.545394137
131,1.32,-925.43108409
132,1.33,-924.885543214
133,1.34,-923.964068722
134,1.35,-923.577206803
135,1.36,-922.911454596
136,1.37,-922.366897268
137,1.38,-921.919711117
138,1.39,-921.400616734
139,1.4,-921.061074366
140,1.41,-920.382754611
141,1.42,-919.652853267
142,1.43,-919.065784841
143,1.44,-918.920547697
144,1.45,-918.145293896
145,1.46,-917.645433326
146,1.47,-916.927443832
147,1.48,-916.448510962
148,1.49,-916.408622657
149,1.5,-915.526052923
150,1.51,-914.934667817
151,1.52,-914.518135555
152,1.53,-913.968387283
153,1.54,-913.361975761
154,1.55,-912.614589132
155,1.56,-912.446457194
156,1.57,-912.042984254
157,1.58,-911.488318246
158,1.59,-911.056868851
159,1.6,-910.426141855
160,1.61,-909.87846996
161,1.62,-909.542315366
162,1.63,-909.057208005
163,1.64,-908.408012177
164,1.65,-907.679367588
165,1.66,-907.138143392
166,1.67,-906.952089037
167,1.68,-906.167819386
168,1.69,-905.748992181
169,1.7,-905.415515022
170,1.71,-904.85893656
171,1.72,-904.166300728
172,1.73,-904.002704036
173,1.74,-903.381430021
174,1.75,-903.064946372
175,1.76,-902.313406989
176,1.77,-902.235925322
177,1.78,-901.37581325
178,1.79,-900.741425273
179,1.8,-900.175885603
180,1.81,-899.996825361
181,1.82,-899.19086303
182,1.83,-898.937708896
183,1.84,-898.468065083
184,1.85,-898.051150331
185,1.86,-897.575168102
186,1.87,-896.673364555
187,1.88,-896.307321053
188,1.89,-895.696702134
189,1.9,-895.5121231
190,1.91,-894.822929684
191,1.92,-894.294436961
192,1.93,-894.066417923
193,1.94,-893.593222411
194,1.95,-893.313020728
195,1.96,-892.446133108
196,1.97,-891.965506351
197,1.98,-891.646891683
198,1.99,-891.363957923
199,2.0,-890.46696283
200,2.01,-889.945354937
201,2.02,-889.602752644
202,2.03,-889.103055999
203,2.04,-888.572049766
204,2.05,-888.177210185
205,2.06,-887.789637927
206,2.07,-887.16972995
207,2.08,-886.851443131
208,2.09,-886.242627382
209,2.1,-885.992697097
210,2.11,-885.610151858
211,2.12,-884.882108325
212,2.13,-884.540817429
213,2.14,-884.031285311
214,2.15,-883.505360739
215,2.16,-883.167348333
216,2.17,-882.618091834
217,2.18,-882.024575709
218,2.19,-881.502913175
219,2.2,-881.055781666
220,2.21,-880.790988889
221,2.22,-880.159114421
222,2.23,-879.849734169
223,2.24,-879.57040675
224,2.25,-878.943067527
225,2.26,-878.367200611
226,2.27,-878.067273341
227,2.28,-877.529436919
228,2.29,-877.008921856
229,2.3,-876.636266731
230,2.31,-876.229788508
231,2.32,-875.601738946
232,2.33,-875.614798268
233,2.34,-874.95800727
234,2.35,-874.529453876
235,2.36,-873.989978208
236,2.37,-873.554157492
