,Voltage,tx_3
0,0.01,-1013.22666455
1,0.02,-1012.12061103
2,0.03,-1011.03127781
3,0.04,-1010.43306251
4,0.05,-1008.98123748
5,0.06,-1008.10511545
6,0.07,-1006.90496923
7,0.08,-1006.08764147
8,0.09,-1004.96475836
9,0.1,-1004.04481383
10,0.11,-1003.22540968
11,0.12,-1002.2955204
12,0.13,-1001.22553027
13,0.14,-1000.36798635
14,0.15,-999.260075011
15,0.16,-998.462746039
16,0.17,-997.580832003
17,0.18,-996.575428145
18,0.19,-995.641386105
19,0.2,-994.610410019
20,0.21,-993.81176965
21,0.22,-992.830735908
22,0.23,-992.11045147
23,0.24,-991.021118247
24,0.25,-990.202041952
25,0.26,-989.267453497
26,0.27,-988.623011481
27,0.28,-987.918026667
28,0.29,-986.588817198
29,0.3,-985.798591622
30,0.31,-985.306053015
31,0.32,-984.337149689
32,0.33,-983.558726681
33,0.34,-982.297600537
34,0.35,-981.774681248
35,0.36,-981.124884364
36,0.37,-980.203191306
37,0.38,-979.295377192
38,0.39,-978.332812282
39,0.4,-977.637225809
40,0.41,-976.841754648
41,0.42,-976.235998824
42,0.43,-974.9856917
43,0.44,-974.381684405
44,0.45,-973.446330968
45,0.46,-972.988435081
46,0.47,-972.033629265
47,0.48,-971.44481231
48,0.49,-970.516125138
49,0.5,-969.778355416
50,0.51,-968.982009991
51,0.52,-968.099768106
52,0.53,-967.211624938
53,0.54,-966.660292062
54,0.55,-965.803513122
55,0.56,-965.249776019
56,0.57,-964.55287815
57,0.58,-963.817403371
58,0.59,-962.78008887
59,0.6,-962.19400399
60,0.61,-961.420826567
61,0.62,-960.674532769
62,0.63,-960.149864952
63,0.64,-959.330460808
64,0.65,-958.452262395
65,0.66,-957.868691025
66,0.67,-957.170809609
67,0.68,-956.315451348
68,0.69,-955.957549432
69,0.7,-955.127872683
70,0.71,-954.391414358
71,0.72,-953.526439191
72,0.73,-953.146899235
73,0.74,-952.161603454
74,0.75,-951.491917059
75,0.76,-950.945829768
76,0.77,-950.359526323
77,0.78,-949.571377125
78,0.79,-949.003761077
79,0.8,-948.423249633
80,0.81,-947.483306309
81,0.82,-946.937983999
82,0.83,-946.352008403
83,0.84,-945.775868279
84,0.85,-945.064982182
85,0.86,-944.444036017
86,0.87,-943.698288634
87,0.88,-942.870688263
88,0.89,-942.304711461
89,0.9,-941.792611192
90,0.91,-941.24936526
91,0.92,-940.631916152
92,0.93,-940.024739648
93,0.94,-939.29287121
94,0.95,-938.533791297
95,0.96,-937.999834422
96,0.97,-937.432109092
97,0.98,-936.619043364
98,0.99,-936.201254348
99,1.0,-935.545337614
100,1.01,-934.79019189
101,1.02,-934.300603925
102,1.03,-933.642173681
103,1.04,-932.889213618
104,1.05,-932.402794861
105,1.06,-931.682073291
106,1.07,-931.324280657
107,1.08,-930.576456897
108,1.09,-929.897481444
109,1.1,-929.662522934
110,1.11,-928.981689669
111,1.12,-928.244247796
112,1.13,-927.727448357
113,1.14,-927.002901881
114,1.15,-926.83395032
115,1.16,-925.817836726
116,1.17,-925.606592633
117,1.18,-924.678998291
118,1.19,-924.184820438
119,1.2,-923.638951713
120,1.21,-922.961834072
121,1.22,-922.256302843
122,1.23,-921.906269305
123,1.24,-921.208934303
124,1.25,-920.677600221
125,1.26,-920.126048779
126,1.27,-919.704325573
127,1.28,-919.001635703
128,1.29,-918.596742085
129,1.3,-917.97328241
130,1.31,-917.376269228
131,1.32,-917.098471771
132,1.33,-916.352942954
133,1.34,-915.890457179
134,1.35,-915.201646254
